Title,Author,Year,Any location source,Country,Abstract,Has abstract,Has references
Una ética en Gottfried Wilhelm Leibniz,María Isabel Ackerley,2026,Eikasía Revista de Filosofía|,AR,"Dentro de la temática actual en el campo de la filosofía, nos avocamos a la ética, dado que consideramos que esta palabra deja entrever en si misma el motivo que nos congrega como seres humanos. Sin ética, es imposible elaborar un proyecto humano como también pensar en un futuro. El tema a desarrollar es el sistema de interpretación de la realidad construido por Leibniz en el siglo XVII: un sistema donde la complejidad y el principio de lo maximal, que denomino Ética de lo Maximal, resulta necesario para habitar el mejor de los mundos posibles.",Has abstract,not has references
Éticamente #120 – Responsabilidad Ética y Ciudadana,Eva María Urbano Mejía,2026,Institutional Repository of the National University Open and Distance UNAD (Universidad Nacional Abierta y a Distancia),,,Has abstract,not has references
Pulso Ético: Ética para el médico auditor,Alberto Gonzales Guzmán|Karla Beatriz Grau Carreño,2026,Zenodo (CERN European Organization for Nuclear Research),PE|PE,"Pulso Ético: Ética para el médico auditor es un manual de campo orientado a la reflexión y toma de decisiones éticas en el ejercicio de la auditoría médica. La obra aborda la relación entre auditoría, ética, moral y derecho; el papel del auditor como agente ético; la justicia distributiva en salud; la evaluación de evidencia, riesgo y costo-efectividad; los conflictos de interés, la independencia, la confidencialidad, los derechos de las personas usuarias, la seguridad del paciente y la lex artis. El manual propone el enfoque denominado auditoría de justicia, articulado en tres elementos: los hechos, la razón y el rastro de la decisión. Asimismo, incorpora herramientas prácticas para la deliberación ética, entre ellas el Registro de Exclusión Razonada (RER), concebido por los autores como un instrumento para documentar los hechos, criterios y razones que sustentan una decisión. La obra está organizada en seis bloques: fundamentos y eje; auditoría de justicia; ética propia del auditor; método y ficha; casos y preguntas; y núcleo común y notas por país para América Latina. Incluye casos prácticos, criterios de deliberación, referencias bibliográficas y elementos normativos relevantes para el ejercicio profesional. Está dirigida principalmente a médicos auditores, profesionales de la salud, gestores sanitarios, responsables de evaluación y priorización de tecnologías y servicios de salud, docentes y estudiantes interesados en ética aplicada a la auditoría médica y a la toma de decisiones en salud. Primera edición digital, 2026. Distribución gratuita.",Has abstract,not has references
Pulso Ético: Ética para el médico auditor,Alberto Gonzales Guzmán|Karla Beatriz Grau Carreño,2026,Zenodo (CERN European Organization for Nuclear Research),PE|PE,"Pulso Ético: Ética para el médico auditor es un manual de campo orientado a la reflexión y toma de decisiones éticas en el ejercicio de la auditoría médica. La obra aborda la relación entre auditoría, ética, moral y derecho; el papel del auditor como agente ético; la justicia distributiva en salud; la evaluación de evidencia, riesgo y costo-efectividad; los conflictos de interés, la independencia, la confidencialidad, los derechos de las personas usuarias, la seguridad del paciente y la lex artis. El manual propone el enfoque denominado auditoría de justicia, articulado en tres elementos: los hechos, la razón y el rastro de la decisión. Asimismo, incorpora herramientas prácticas para la deliberación ética, entre ellas el Registro de Exclusión Razonada (RER), concebido por los autores como un instrumento para documentar los hechos, criterios y razones que sustentan una decisión. La obra está organizada en seis bloques: fundamentos y eje; auditoría de justicia; ética propia del auditor; método y ficha; casos y preguntas; y núcleo común y notas por país para América Latina. Incluye casos prácticos, criterios de deliberación, referencias bibliográficas y elementos normativos relevantes para el ejercicio profesional. Está dirigida principalmente a médicos auditores, profesionales de la salud, gestores sanitarios, responsables de evaluación y priorización de tecnologías y servicios de salud, docentes y estudiantes interesados en ética aplicada a la auditoría médica y a la toma de decisiones en salud. Primera edición digital, 2026. Distribución gratuita.",Has abstract,not has references
Ética del discurso y ética de la liberación: ¿un diálogo imposible entre Karl-Otto Apel y Enrique Dussel?,Gedeon José de Oliveira|Javier Romero,2026,Hispana|Gredos (University of Salamanca)|Zenodo (CERN European Organization for Nuclear Research),BR|US,"El texto presenta un análisis crítico del diálogo entre Karl-Otto Apel y Enrique Dussel respecto a la posibilidad de fundamentar los juicios morales. Mientras Apel defiende la ética del discurso, anclada en la racionalidad comunicativa, el consenso y la argumentación libre de coerción, Dussel desarrolla una ética de la liberación, centrada en la situación material de los oprimidos y en la necesidad de partir del sufrimiento de “el Otro” como fundamento ético originario. El debate revela críticas mutuas: Dussel cuestiona el carácter abstracto del universalismo apeliano, mientras Apel advierte riesgos de relativismo o dogmatismo en una ética demasiado situada como es la ética de la liberación. Sin embargo, el texto señala posibles puntos de convergencia, especialmente en torno a la intersubjetividad, la crítica de la modernidad y la necesidad de una macroética planetaria capaz de responder a desafíos como la pobreza global, la exclusión y la crisis ecológica.",Has abstract,not has references
Ética del discurso y ética de la liberación: ¿un diálogo imposible entre Karl-Otto Apel y Enrique Dussel?,Gedeon José de Oliveira|Javier Romero,2026,Zenodo (CERN European Organization for Nuclear Research),BR|US,"El texto presenta un análisis crítico del diálogo entre Karl-Otto Apel y Enrique Dussel respecto a la posibilidad de fundamentar los juicios morales. Mientras Apel defiende la ética del discurso, anclada en la racionalidad comunicativa, el consenso y la argumentación libre de coerción, Dussel desarrolla una ética de la liberación, centrada en la situación material de los oprimidos y en la necesidad de partir del sufrimiento de “el Otro” como fundamento ético originario. El debate revela críticas mutuas: Dussel cuestiona el carácter abstracto del universalismo apeliano, mientras Apel advierte riesgos de relativismo o dogmatismo en una ética demasiado situada como es la ética de la liberación. Sin embargo, el texto señala posibles puntos de convergencia, especialmente en torno a la intersubjetividad, la crítica de la modernidad y la necesidad de una macroética planetaria capaz de responder a desafíos como la pobreza global, la exclusión y la crisis ecológica.",Has abstract,not has references
"Ética, Responsabilidad y Política del Diseño",Juan Manuel Rodríguez Caso,2026,Zenodo (CERN European Organization for Nuclear Research),MX,,No abstract,not has references
"Ética, Responsabilidad y Política del Diseño",Juan Manuel Rodríguez Caso,2026,Zenodo (CERN European Organization for Nuclear Research),MX,,No abstract,not has references
Publicaciones y academia. La dimensión ética,Fernando Lolas Stepke,2026,Scientific Electronic Library Online (Scientific Electronic Library Online),CL,,No abstract,not has references
"Reseña de ""Ética de la apropiación cultural""",Airan Barber Rodriguez,2026,Perifèria Revista d investigació i formació en Antropologia|Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona),ES,"El concepto de apropiación cultural, entendido como el acto por el cual personas o grupos adoptan elementos de una cultura distinta de la propia, desempeña un papel central en debates tanto académicos como públicos. Esto genera controversias, especialmente en relación con la propiedad legítima de ciertos elementos culturales, así como con sus implicaciones sociales y políticas. Ética de la apropiación cultural, publicado por la editorial Herder, es un breve libro que problematiza esta idea. La obra invita a reconsiderar los juicios de valor apresurados, promoviendo una reflexión que incorpore también las dinámicas de lo que llamará contra-apropiación cultural. Para tal efecto, el autor aborda, a través de ejemplos de la cultura popular y, sobre todo, musical, los imaginarios, las lógicas y las consecuencias de estos conceptos. A lo largo de sus cinco capítulos, la obra avanza en profundidad, ofreciendo una perspectiva cada vez más matizada y compleja sobre este fenómeno.",Has abstract,not has references
"La implementación práctica de la ética en el deporte: “Bandera de la Ética”, un método posible para mejorar la cultura ética en una organización deportiva",José Carlos Novais Lima,2026,Tesis Doctorals en Xarxa (Consorci de Serveis Universitaris de Catalunya),,"Entre les diferents àrees de l'ètica aplicada, l'esport, per la importància social i l'impacte mediàtic, es presenta com un camp privilegiat per a la reflexió ètica. Més enllà dels seus reptes, dilemes i xacres, l'esport s'afirma com una eina educativa, on l'aprofundiment d'un conjunt de valors, l'ethos esportiu, pot contribuir al desenvolupament del caràcter, en particular dels més joves, així com a la cohesió social. Per això, cal crear mecanismes de defensa i promoció d'aquest ethos esportiu. Amb aquesta finalitat respon el programa portuguès ""Bandera de l'Ètica"" que pretén ser un detonant per al desenvolupament d'iniciatives en el camp de l'ètica esportiva i promoció d'un ambient favorable per al canvi de comportaments en organitzacions esportives. La tesi té com a objecte l'anàlisi de l'eficàcia d'aquest programa per fer-ho en un estudi empíric destinat a verificar la consecució dels seus fins ètics i, en particular, la promoció efectiva d'una cultura ètica.",Has abstract,not has references
Un tácito proyecto ético y político: «comunidad ética» y «fin comunitario» en la ética de Kant.,Lucian Florin Atanasof,2026,Dialnet (Universidad de la Rioja),ES,"Usually, Kantian ethics has been presented as a theory concerned exclusively with freedom and the individual. The criticisms it has received focus, on the one hand, on its construction of an abstract and isolated individual and, on the other, on a moral theory that avoids references to history, society, or community. The result would therefore be a rigid and demanding ethics, difficult to fulfill for an individual who is not as free as the theory assumes. In this paper, we aim to present ideas that cast doubt on this conception of Kantian ethics. We seek to recover the realistic view of the subject that Kant develops, as well as a tacit ethical and political project that takes shape beyond the Critique of Practical Reason and whose foundations can even be found in the first Critique. Two essential texts for this perspective are Idea for a Universal History with a Cosmopolitan Purpose and Religion within the Boundaries of Mere Reason. The latter will be key for proposing the notions of «ethical community» —or «ethico-civil society»— and «common end» as opposed to the concept of «juridico-civil society».",Has abstract,not has references
Incompatibilidad Estructural entre la Ética del discurso y la Ética de liberación. Tesis de no-complementación entre sendas propuestas ético-filosóficas,Eduardo Ovídio Romero,2026,Dialnet (Universidad de la Rioja),ES,"El presente artículo se hace eco del “desafío de complementariedad” entre la Ética del discurso y la Ética de la liberación, y fundamenta la tesis opuesta, según la cual existe una incompatibilidad estructural y sistemática de ambas teorías ético-filosóficas. Estos es, la investigación pretende justamente abordar la cuestión de una comparación sistemática y crítica de la Ética del discurso y la Ética de la liberación, tomando como conceptos guía de la misma las problemáticas filosóficas de la fundamentación racional de las normas morales y de la aplicación histórica de las normas bien fundadas en contextos de globalización, interculturalidad y exclusión. Con ello se busca hacer una contribución teórica relevante en el ámbito de la ética filosófica contemporánea para una mejor comprensión de las teorías de la ética discursiva y de la Ética de la liberación, así como para saldar el vacío reflexivo en relación con una confrontación sistemática entre ambas teorías.ARK CAICYT: https://id.caicyt.gov.ar/ark:/s24226459/scyaxf10n",Has abstract,not has references
