Title,Author,Year,Any location source,Country,Abstract,Has abstract,Has references
Contratación ética digital y protección de menores en Colombia : propuesta de política púlblica de innovación social y tecnológica en el marco de la ley 2375 de 2024,María Paz Parra Escobar|Mariana Hernández Bonett,2026,Repositorio Institucional (Pontificia Universidad Javeriana),|,"La presente investigación abordará la dualidad jurídica que surge con la implementación de la Ley 2375 de 2024, entre la protección de los derechos de los menores de edad, al establecer un régimen de inhabilidad especial para cargos con contacto directo con esta población, y la garantía del derecho al trabajo y la reintegración social de las personas. Para ello, se propondrá una política pública basada en tecnologías avanzadas y estrategias de innovación social que permitan fortalecer la verificación y trazabilidad en la contratación e impulsar la celeridad procesal y descongestión judicial en beneficio de seguridad jurídica y eficiencia institucional.",Has abstract,not has references
"Reseña de La Ética Eudemia de Aristóteles. Ensayos de interpretación, de E. Mares Manrique y L. A. Gerena Castillo (coords.), Ciudad de México: Universidad Autónoma de Morelos / Universidad Autónoma de San Luis Potosí, 2025, 265pp.",Luis Guillermo Martínez Gutiérrez,2026,Dialnet (Universidad de la Rioja),MX,"Información del artículo Reseña de La Ética Eudemia de Aristóteles. Ensayos de interpretación, de E. Mares Manrique y L. A. Gerena Castillo (coords.), Ciudad de México: Universidad Autónoma de Morelos / Universidad Autónoma de San Luis Potosí, 2025, 265pp.",Has abstract,not has references
Estrategias pedagógico-institucionales integradoras para fortalecer el impacto social de la pastoral lasallista: formación ética crítica y acción comunitaria de estudiantes de colegios de La Salle en Bogotá,Jaider Guillermo Hernández Pérez,2026,Ciencia Unisalle (Universidad de La Salle),,,Has abstract,not has references
Tecnologias de frontera : la otra dimension de la gestión migratoria. Una perspectiva ética frente a su repercusion en los migrantes en la frontera terrestre entre Mexico-Estados Unidos (2017-2024),Daniela Alejandra Méndez Gómez,2026,Repositorio Institucional (Pontificia Universidad Javeriana),,"Al observar la magnitud que ha adquirido el fenómeno migratorio, en relación con el espectro geográfico norteamericano es notable que la complejidad del problema ha trascendido más allá de un debate político o el cuestionamiento ético del problema. La convergencia de desafíos sustanciales de migración, desarrollo tecnológico y derechos humanos, supone un escenario de alta complejidad que se ve materializado en la frontera suroeste entre Estados Unidos – México. Por lo tanto, esta investigación recupera aportes –de carácter académico – realizados por estudios migratorios, organismos internacionales y agencias gubernamentales para determinar los efectos a las cuales se enfrentan las poblaciones migrantes bajo un contexto de aplicación de tecnologías y sistemas digitales como mecanismos de control fronterizo. En complementariedad, esta tesis revisa el discurso de securitización del fenómeno migratorio en los Estados Unidos durante los últimos dos períodos presidenciales: Donald Trump (2017-2021) y Joe Biden (2021-2024) para determinar su influencia en la operatividad del sistema fronterizo y la percepción de la población migrante en el país.",Has abstract,not has references
"Evaluación Transparente de Ética, Responsabilidad y Sostenibilidad en IA y Gestión Datos: Un Marco Integral mediante XAI Transparent Assessment of Ethics, Responsibility and Sustainability in AI and Data Management: A Comprehensive Framework using XAI",Lorena Romina,2026,,,,No abstract,not has references
Aplicación de los fundamentos de la psicología del consumidor en la publicidad de cosméticos: estudio comparativo entre Trendy y Atenea en Colombia desde la ética y la responsabilidad social,Alexandra Cobo Segura,2026,Repositorio Digital Universidad Autonoma de Occidente,,"El presente estudio tiene como objetivo analizar cómo las marcas de cosméticos Trendy y Atenea aplican principios psicológicos del consumidor en sus estrategias publicitarias y cómo estos se relacionan con el posicionamiento de marca que construyen en el mercado cosmético colombiano. La investigación parte del reconocimiento del crecimiento sostenido de la industria cosmética en Colombia y del papel estratégico que cumple la publicidad en la construcción de significados simbólicos asociados a la imagen, la identidad y el consumo de productos de belleza. El estudio se desarrolla desde un enfoque cualitativo, con un alcance descriptivo y analítico, orientado a comprender la manera en que las marcas utilizan distintos elementos comunicativos para influir en la percepción del consumidor, por ello la unidad de análisis está conformada por publicaciones orgánicas en Instagram de las marcas Trendy y Atenea, correspondientes a los periodos de Black Friday (23–30 de noviembre de 2025) y Navidad (17–24 de diciembre de 2025), para un total de 71 piezas publicitarias analizadas, 55 pertenecientes a Trendy y 16 a Atenea. La metodología se basa en el análisis de contenido de dichas piezas, considerando elementos visuales, emocionales y discursivos presentes en las publicaciones. El análisis se centra en la identificación de principios psicológicos del consumidor como la percepción, la motivación, las emociones, las actitudes y la influencia social, y su relación con el posicionamiento de marca de cada una. Los resultados evidencian diferencias significativas en la forma en que las marcas aplican estos principios psicológicos en sus estrategias publicitarias. En particular, Trendy se caracteriza por el uso de estímulos emocionales y sociales orientados a generar interacción inmediata, mientras que Atenea prioriza una comunicación más estructurada y coherente, enfocada en la confianza y el desempeño de los productos. En este sentido, se concluye que la construcción del posicionamiento de marca no depende únicamente de la activación de principios psicológicos, sino de la coherencia entre la comunicación publicitaria y la experiencia del consumidor, configurándose esta como un factor determinante en la consolidación de posicionamientos de marca sólidos en el contexto de la publicidad cosmética. Los resultados del estudio aportan a la comprensión académica del vínculo entre psicología del consumidor y posicionamiento de marca en la publicidad cosmética dentro del contexto colombiano",Has abstract,not has references
"Uso del Merge Cube Para fortalecer la comprensión ética y crítica de la inteligencia artificial en estudiantes de séptimo grado de la Institución Educativa Curacas, Cauca, mediante una propuesta didáctica articulada con gamificación y aprendizaje basado en problemas.",Lobo Urango Sara Sofía|Robles Ortega Jorge Luis|Salazar Oliva Hamilton Mauricio,2026,Biblioteca Digital Universidad de Cartagena,||,"El proyecto titulado “Uso del Merge Cube Para Fortalecer la Comprensión Ética y Crítica de la Inteligencia Artificial en Estudiantes de Séptimo Grado de la Institución Educativa Curacas, Cauca, Mediante una Propuesta Didáctica Articulada con Gamificación y Aprendizaje Basado en Problemas” tuvo como objetivo fortalecer la comprensión ética y crítica de la Inteligencia Artificial (IA) en estudiantes de grado séptimo de la Institución Educativa Curacas, ubicada en Mercaderes, Cauca, a través del uso del recurso de realidad aumentada Merge Cube. La investigación se desarrolló bajo un enfoque cualitativo, con modelo de investigación–acción (IA) y método inductivo.",Has abstract,not has references
Política pública nacional de innovación social y tecnológica : plataforma digital de contratación ética en el marco de la Ley 2375 de 2024 como respuesta a la protección de menores y la prevención del litigio en la quinta revolución industrial,Sofia Tafur Conde|Maria José Durán Henao|Santiago Rocca Rojas|Mariana Hernández Bonett|María Paz Parra Escobar|Sofia Navas Vera|Lourdes Lucía Rivera Trilleras,2026,Repositorio Institucional (Pontificia Universidad Javeriana),||||||,"La Ley 2375 de 2024 constituye un avance normativo significativo en la protección de los derechos de los menores de edad, al establecer un régimen de inhabilidad especial para el ejercicio de cargos, oficios o profesiones que impliquen contacto directo y habitual con esta población, cuando se haya incurrido en delitos contra su libertad, integridad y formación sexual. Esta disposición, en concordancia con la Ley 1918 de 2018 y el Código Penal Colombiano, refuerza el principio de entornos seguros y libres de riesgos para niños, niñas y adolescentes. En este contexto, se propone la formulación de una política pública integral, sustentada en la integración de tecnologías avanzadas en el marco de la quinta revolución industrial y estrategias de innovación social, que permitan: (i) fortalecer los mecanismos de verificación y trazabilidad en los procesos de contratación pública y privada, mediante sistemas interoperables de antecedentes judiciales y disciplinarios, (ii) incentivar la celeridad procesal y la descongestión de la administración de justicia en el marco de los eventuales litigios laborales que se pueden dar en razón del vacío normativo y problemáticas que se pretenden resolver de la ley en cuestión y, (iii) promover la confianza, la justicia y la eficacia en la administración pública y en el sector privado, mediante prácticas de gobernanza ética y transparente.",Has abstract,not has references
"Representaciones sociales de los jóvenes del Voluntariado Javeriano sobre los habitantes de calle de la Fundación San Egidio : una mirada, desde la pedagogía de la alteridad, a la formación de una ciudadanía ética, basada en el reconocimiento, la hospitalidad y la compasión",Juan Felipe Herrera Escobar,2026,Repositorio Institucional (Pontificia Universidad Javeriana),,"Esta investigación busca comprender las representaciones sociales de las y los jóvenes del Voluntariado Javeriano sobre los habitantes de calle de la Fundación San Egidio, con el propósito de aportar, desde la pedagogía de la alteridad, a la formación de una ciudadanía ética basada en el reconocimiento, la hospitalidad y la compasión. El estudio se inscribe en un contexto marcado por la aporofobia, la exclusión social y los discursos de odio hacia los pobres, lo que plantea un desafío para la educación superior en la construcción de ciudadanos sensibles a la vulnerabilidad y que brinden una respuesta al sufrimiento a quien vive excluido e invisible. Metodológicamente, se desarrolló un estudio de caso con enfoque cualitativo bajo un paradigma hermenéutico-interpretativo. La información se recolectó mediante entrevistas en profundidad semiestructuradas a siete participantes del Voluntariado y se analizó a través del Análisis Crítico del Discurso y la Teoría de las Representaciones Sociales. Los resultados muestran que, antes de la experiencia de voluntariado, predominaban representaciones marcadas por el menosprecio, el miedo y la estigmatización, alimentadas por la familia, los medios de comunicación y el entorno social. Durante el Voluntariado, se evidencia una crisis ideológica que tensiona estos imaginarios, favoreciendo el surgimiento de nuevas formas de relación basadas en la acogida, la escucha y el reconocimiento del otro. Sin embargo, esta transformación es parcial y ambivalente, ya que persisten rasgos aporofóbicos en los discursos. Se concluye que la experiencia del voluntariado constituye un escenario significativo para la formación de una ciudadanía ética, al propiciar el encuentro con la alteridad y el cuestionamiento de representaciones sociales arraigadas. No obstante, se requiere una mediación pedagógica más explícita que permita consolidar procesos de transformación profunda de los imaginarios sociales. La investigación aporta a la comprensión del papel de la educación en la formación de subjetividades críticas y comprometidas con la justicia social, evidenciando que es posible tensionar y resignificar los discursos de exclusión mediante prácticas educativas centradas en la acogida y el encuentro con el otro.",Has abstract,not has references
"Colaboradores Académicos voluntarios UMX OC Agentes de cambio con profundo espíritu altruista, que integran saberes clásicos y visión contemporánea. Transforman vidas a través de la docencia, la accesibilidad y la innovación digital, guiados por la ética, la tecnología y un legado humanitario que inspira.",Gerardo González|Dra Evelyne Amaro|Andrea González|Guido Asencio D.h.c. Mult.-Dr.-Mba-CPyA,2026,,|||,,No abstract,not has references
La identidad docente del profesorado universitario. Una aproximación desde la pedagogía de la alteridad,Eduardo Romero Sánchez|Alberto Gárate Rivera|Doris Becerra Polío,2026,Revista Complutense de Educación|DOAJ (DOAJ: Directory of Open Access Journals),ES|MX|MX,"La identidad docente del profesor universitario ha sido un tema ampliamente estudiado y tratado desde diferentes posturas y enfoques teóricos, acentuando, en cada caso, una u otras de las dimensiones que influyen en su construcción y definición. El elemento novedoso de este artículo es su abordaje desde la filosofía de la educación y con una orientación marcadamente levinasiana. Se trata, por tanto, de un estudio de carácter teórico que se encuentra fundamentado en una revisión de la literatura más relevante y actual de la temática tratada. Los autores parten de un enfoque relacional y situacional de la identidad docente y defienden una ética responsiva y de la singularidad frente a la ética profesional clásica (deontología). El trabajo profundiza en algunas formulaciones del pensamiento de Levinas relacionadas con el quehacer docente como son su propia concepción de la enseñanza y las nociones de subjetividad, transcendencia, heteronomía, y singularidad. Seguidamente se reflexiona sobre la influencia que pueden ejercer en la identidad docente algunos de los principales valores que se derivan de la ética levinasiana como son la responsabilidad, la acogida, el reconocimiento, la donación, y el testimonio. Se concluye con la pedagogía de la alteridad como propuesta alternativa que acentúa la dimensión ético-afectiva como un elemento inherente y consustancial en la construcción de la identidad docente. Desde este modelo, algunos de los atributos más apreciados para el ejercicio de la docencia son: el humanismo, el amor y el compromiso apasionado del docente.",Has abstract,has references
"Inteligencia Artificial Aplicada a la Contabilidad: Flujos, buenas prácticas y control",Yessica Samari García-Vera|Fernando Xavier Juca Maldonado,2026,|Directory of Open access Books (OAPEN Foundation)|Directory of Open access Books (OAPEN Foundation),|,"La inteligencia artificial ha dejado de ser una promesa para convertirse en una herramienta concreta que transforma la contabilidad, impactando la forma en que se registran, controlan, analizan y comunican los datos financieros. Frente a este panorama, surge un desafío central para estudiantes y profesionales contables: integrar la inteligencia artificial en los procesos sin perder el control, el criterio profesional ni el cumplimiento normativo. Este libro ofrece un enfoque académico aplicado que guía al lector paso a paso en el diseño y gobernanza de flujos automatizados para funciones contables esenciales, incluyendo el registro de operaciones, la clasificación y codificación de transacciones, la conciliación bancaria, la gestión documental, la elaboración de reportes financieros y la auditoría de resultados generados automáticamente. Más allá de la eficiencia, la obra enfatiza la importancia del control, la trazabilidad y la ética profesional. Describe cómo mantener la responsabilidad del contador en entornos automatizados, validar los resultados producidos por inteligencia artificial y establecer sistemas de gobierno y control de versiones que garanticen transparencia y confiabilidad en la información financiera. Dirigido a estudiantes universitarios, docentes y profesionales del área contable, el libro combina fundamentos conceptuales con ejemplos prácticos y buenas prácticas, demostrando que la inteligencia artificial no sustituye al contador, sino que potencia su capacidad de supervisión, análisis y toma de decisiones estratégicas. Se presenta como una guía imprescindible para comprender, aplicar y liderar procesos contables asistidos por inteligencia artificial, promoviendo la innovación tecnológica sin sacrificar el rigor, la ética ni la responsabilidad profesional. Con este enfoque, los lectores podrán enfrentar los retos de la contabilidad moderna y aprovechar las ventajas de la automatización de manera segura, eficiente y alineada con las normas vigentes.",Has abstract,not has references
Inteligência artificial generativa na educação: uma análise bibliométrica,Aline Barbosa Xavier Muniz|EDUARDO AMADEU DUTRA MORESI,2026,Educación|DOAJ (DOAJ: Directory of Open Access Journals),BR|BR,"Este artigo analisa a aplicação da Inteligência Artificial Generativa (IAGen) na educação por meio de uma abordagem bibliométrica e qualitativa. A pesquisa identifica temas emergentes, destacando os impactos da IAGen em contextos educacionais. Foram utilizados dados da base Scopus analisados com os softwares VOSviewer, Gephi e Bibliometrix para explorar coocorrências de palavras-chave, temas motores e artigos mais citados. Os resultados foram organizados em três clusters principais: ChatGPT, Inteligência Artificial Generativa e Educação Tecnológica, incluindo questões de ética, integridade acadêmica e transformação digital. A análise revela que, embora a IAGen traga oportunidades como maior acessibilidade e eficiência educacional, há preocupações sobre viés, privacidade e erosão de habilidades críticas. Este estudo contribui para o entendimento das implicações da IAGen na educação, oferecendo perspectivas para a pesquisa e práticas futuras.",Has abstract,not has references
Pedagogía social en la formación médica hospitalaria: prácticas educativas fuera del aula,Jordan Gonzalo Llerena Velasteguí,2026,|El Servicio de Difusión de la Creación Intelectual (National University of La Plata),,"Este trabajo analiza, desde la pedagogía social, las prácticas educativas que acontecen fuera del aula en la formación médica hospitalaria, identificando un vacío teórico en la intersección entre educación médica y enfoques socioeducativos. Con un diseño cualitativo descriptivo-interpretativo, se recabaron veintiún cuestionarios abiertos y anónimos de internos rotativos (cohorte 2024–2025) en un hospital privado de Ecuador y, asimismo, se trianguló con documentos normativos y programáticos del internado. Los hallazgos muestran al hospital como comunidad de práctica, donde el aprendizaje situado se materializa en microenseñanzas en pasillos, observación de modelos profesionales y espacios de educación al paciente y su familia; a la par, el currículum oculto y el clima ético-afectivo del servicio (empatía, trato digno, seguridad psicológica) inciden de modo decisivo en la calidad del aprendizaje y en la configuración de la identidad profesional. Se evidencian puentes —rondas interprofesionales, tutorías cercanas, iniciativas de humanización, uso de simulación— y lagunas —presión asistencial, jerarquías rígidas, variabilidad de oportunidades, escasez de retroalimentación formativa— que justifican un marco integrador. Como aportes, se proponen lineamientos pedagógico-sociales para institucionalizar la docencia en servicio: (1) formalizar tiempos y objetivos pedagógicos en pases de sala y guardias; (2) fortalecer la mentoría y la retroalimentación reflexiva con herramientas de evaluación en el lugar de trabajo y un enfoque de retroalimentación prospectiva; (3) estructurar actividades profesionales confiables con decisiones de confianza progresiva; (4) consolidar la educación interprofesional y las sesiones de reflexión ética posterior para visibilizar y reorientar el currículum oculto; (5) articular simulación clínica (incluida la in situ) con metas de seguridad del paciente y ética del cuidado; y (6) incorporar competencia estructural para leer determinantes sociales en cada caso. En conjunto, el estudio posiciona al hospital como “tercera aula” y ofrece un marco conceptual-operativo para humanizar y mejorar la formación clínica en contextos ecuatorianos.",Has abstract,not has references
Inteligencia artificial para la inclusión en educomunicación: avances y retos,Victoria García-Prieto|Mónica Bonilla-del-Río|Juan C. C. Figuereo-Benítez,2026,INDEX COMUNICACIÓN|UCrea (University of Cantabria),ES|ES|ES,"Esta revisión sistemática de 113 investigaciones (1986-2025) analiza la intersección entre inteligencia artificial (IA), comunicación y educación para personas con discapacidad. Se evidencia un notable incremento en la producción científica desde 2018, concentrándose el 70,2% de los estudios en los últimos tres años. El ámbito educativo domina las investigaciones, con predominio de estudios empíricos y enfoques cuantitativos. Las discapacidades del aprendizaje, visual y auditiva son las más investigadas, aunque el 38,1% de los trabajos abordan la discapacidad en general. Entre los propósitos destacan la evaluación de tecnologías accesibles, el desarrollo de sistemas inteligentes y aplicaciones educomunicativas de la IA. Los hallazgos resaltan su potencial para eliminar barreras, personalizar el aprendizaje y fomentar la inclusión digital. Sin embargo, se subraya la necesidad de abordar sesgos capacitistas e incluir al colectivo en el diseño para una implementación ética y eficaz de la IA.",Has abstract,not has references
Innovación didáctica con IA-G generativa en matemática universitaria: experiencias en el TEC,Melvin Ramírez-Bogantes|Jorge Monge-Fallas|Alexander Borbón-Alpízar|Marco Vinicio Gutiérrez-Montenegro|Reiman Acuña-Chacón|Luis Gerardo Meza-Cascante,2026,DOAJ (DOAJ: Directory of Open Access Journals),|||||,,Has abstract,not has references
"Aprendizaje-servicio en el grado de Educación Social: diseño, desarrollo y evaluación de una experiencia intergeneracional",Jessica Cabezas Alarcón|Valeska Cabrera Cuadros,2026,Educar|DOAJ (DOAJ: Directory of Open Access Journals),ES|ES,"El aprendizaje-servicio (ApS) se ha consolidado en la educación superior como una metodología activa que integra los conocimientos académicos y las necesidades reales del entorno, por lo que promueve la participación estudiantil, el compromiso cívico y la transformación social. Este estudio analiza la aplicación de una experiencia de ApS en la asignatura de Educación de Personas Adultas del grado de Educación Social en una universidad pública de Cataluña durante el curso 2024-2025. En ella participaron 37 estudiantes en colaboración con un programa comunitario dirigido a 30 personas mayores de 65 años en situación de vulnerabilidad. El diseño contempló las dimensiones siguientes: estrategias utilizadas, rol del educador social, compromiso social e implicación de la asignatura. Los datos mostraron que el ApS favoreció la integración teórico-práctica de conceptos de la materia, fortaleció competencias profesionales y transversales —como comunicación, ética y trabajo en red— y potenció la motivación y el aprendizaje situado del alumnado. La interacción intergeneracional visibilizó necesidades formativas de las personas y contribuyó a consolidar espacios comunitarios de participación. La experiencia evidencia el potencial del ApS como estrategia pedagógica transformadora orientada a promover aprendizaje significativo, compromiso social y mayor cohesión entre la universidad y la comunidad de manera significativa.",Has abstract,has references
B6. ARGOS como sistema de inteligencia competitiva y alerta estratégica,Johnny Cartín Quesada,2026,Zenodo (CERN European Organization for Nuclear Research),CR,"Nota de versión: este artículo es un documento fechado. Describe el ecosistema ODISEO tal como estaba constituido al 17 de mayo de 2026 y se publica sin reescritura posterior. Para el estado posterior, véanse el Paper 0-II (10.5281/zenodo.21997492), B20 — TELOS (10.5281/zenodo.21997650), B21 — ODOS (10.5281/zenodo.21998634) y el artículo comprehensivo, versión 3. Reserva de parámetros: Los cortes de brecha competitiva y los horizontes de urgencia de señal se reservan por política comercial; el Índice de Ventaja Competitiva se publica en forma simbólica. Declaración de uso de inteligencia artificial: este trabajo se elaboró con asistencia de herramientas de IA generativa en la formalización y la redacción; la concepción, la dirección teórica, la verificación y la responsabilidad del contenido corresponden íntegramente al autor. Conforme a la práctica editorial vigente, las herramientas de IA no figuran como autoras. Este artículo modela ARGOS como el sistema de inteligencia competitiva del ecosistema ODISEO. Su función es convertir el entorno competitivo del cliente en un campo observable, comparable y accionable. ARGOS no sustituye la estrategia, sino que produce la evidencia estructurada que permite diseñarla: escanea macroentorno, perfila competidores, ubica la posición relativa del cliente, detecta señales tempranas y sintetiza recomendaciones ejecutivas. La tesis central es que ARGOS puede formalizarse como un operador de observación estratégica: donde `E` es el entorno, `C` el conjunto de competidores, `P` la posición del cliente, `F` las fuentes disponibles y `S` las señales observadas. La salida incluye radar de entorno, perfiles competitivos, posicionamiento, alertas e inteligencia estratégica. ARGOS opera bajo una restricción ética fuerte: solo usa información pública, consentida o legítimamente disponible, con fuente y fecha declaradas.",Has abstract,not has references
La divulgación científica en la formación del profesorado universitario: una revisión sistemática,Dieter Reynaldo Fuentes Cancell|Odiel Estrada Molina|Mónica Gutiérrez‐Ortega,2026,Revista Digital de Investigación en Docencia Universitaria|Zenodo (CERN European Organization for Nuclear Research),||,"Introducción: La divulgación científica constituye una función esencial de la universidad, vinculada a la transferencia de conocimiento, la alfabetización científica y la responsabilidad social. Sin embargo, la formación del profesorado universitario en divulgación científica sigue siendo incipiente y fragmentada, con una producción académica centrada principalmente en la competencia digital y escasamente integrada en la profesionalización docente. Método: Se realizó una revisión sistemática de la literatura siguiendo el protocolo PRISMA. La búsqueda se efectuó en las bases de datos Scopus, Web of Science, ERIC y Dialnet, considerando artículos revisados por pares publicados entre 2010 y mayo de 2025. Tras aplicar criterios de inclusión y exclusión, se seleccionaron 16 estudios. El análisis se llevó a cabo mediante una síntesis narrativa de los estudios incluidos. Resultados: Se identifican tres dimensiones formativas en la formación del profesorado universitario orientada a la divulgación científica: instrumental-profesional, pedagógico-didáctica y social-ética. Se reconocen cuatro competencias clave: digital, comunicativa, de transferencia del conocimiento y reflexiva. Discusión: Los hallazgos evidencian la ausencia de marcos formativos integrados y una limitada institucionalización de la divulgación científica en los sistemas de evaluación académica. Se concluye que la divulgación científica debe incorporarse explícitamente en la formación inicial, el desarrollo profesional y la evaluación docente, fortaleciendo la función social de la universidad y su papel frente a la desinformación científica.",Has abstract,not has references
UCIF — Unified Conversational Intelligence Framework: Conceptual Whitepaper v1.0,Jose Luis Caresani,2026,Zenodo (CERN European Organization for Nuclear Research),US,"UCIF (Unified Conversational Intelligence Framework) es un Conceptual Whitepaper que propone un marco para la observabilidad sistemática de las conversaciones que las organizaciones mantienen con sus clientes, empleados, proveedores y comunidades cercanas a través de canales heterogéneos (mensajería instantánea, correo electrónico, voz, redes sociales, sistemas internos). Esta v1.0 es el primer documento de una serie planificada que articula vocabulario común, siete hipótesis fundamentales organizadas en tres categorías (proposiciones empíricas, principios de diseño, tesis estratégica), cuatro métricas operativas iniciales, una arquitectura conceptual de referencia, un modelo de madurez de nueve niveles, una posición ética declarada sobre los usos legítimos del Capital Conversacional, y una agenda de investigación empírica con dieciséis líneas concretas. El documento reposiciona el concepto de Capital Conversacional —originalmente acuñado por Cesvet, Babinski y Alper (2008) en clave de marketing— como activo intangible gestionable, observable y medible, distinguible operativamente del activo operacional (gestionado por ERP), del activo cliente (gestionado por CRM) y del activo informacional (gestionado por Business Intelligence). El framework articula el principio de Confinamiento de Inferencia por Propósito (CIP) como respuesta arquitectónica directa al panorama regulatorio europeo: RGPD, AI Act, NIS2, DSA, EHDS, PSD2, MiCA, Código Europeo de Comunicaciones Electrónicas, normativa sectorial específica. El paquete incluye, además del whitepaper completo en español (101 páginas), una gacetilla ejecutiva para C-level (3 páginas), un resumen ejecutivo extendido en español (6 páginas), un resumen en inglés (3 páginas), versión Word editable, fuente Markdown, y la figura conceptual principal como vector escalable. Cinco apéndices: glosario, bibliografía, notas sobre metodología de elaboración con declaración explícita de asistencia editorial de IA, formalización matemática preliminar y English-Language Summary. Este es el primer record de la colección UCIF en Zenodo. Documentos subsiguientes —Industry Frameworks por sector, Technical Architecture, Mathematical Foundations— se publicarán como records independientes vinculados a este v1.0. --- UCIF (Unified Conversational Intelligence Framework) is a Conceptual Whitepaper for the systematic observability of organizational conversations across heterogeneous channels and communities. This v1.0 establishes vocabulary, falsifiable hypotheses organized in three categories (empirical, design principles, strategic thesis), reference architecture, nine-level maturity model, and declared ethical positions. The framework articulates four fundamental metrics (ECM, UCCI, MPI, ICI), a Conversational Digital Twin, and the principle of Purpose-Based Inference Confinement (CIP) as architectural response to the European regulatory landscape. The package includes the main 101-page document in Spanish, executive briefings for C-level and professional audiences, and an English-language abstract for international readers. This is the first record of a planned UCIF collection on Zenodo. ---",Has abstract,not has references
"Ciencias Sociales en tiempos de aceleración digital: desafíos, tensiones y reconfiguraciones…",Juan Uribe-Toril,2026,Revista de Ciencias Sociales|DOAJ (DOAJ: Directory of Open Access Journals)|Redalyc (Universidad Autónoma del Estado de México),ES|US,"Ciencias Sociales en tiempos de aceleración digital: desafíos, tensiones y reconfiguraciones…En coherencia con los debates que atraviesan este número, es pertinente señalar que la presente editorial no ha sido redactada exclusivamente por mediación humana (es decir, por mi), sino elaborada con ayuda de un programa de inteligencia artificial, eso sí… con una buena carga de supervisión personal.Este hecho no constituye una mera anécdota técnica, sino un gesto deliberado que refleja el tiempo histórico que habitamos, un escenario en el que las nuevas tecnologías dejan de ser simples instrumentos auxiliares para convertirse en agentes activos en los procesos de producción académica.Nos encontramos ante una encrucijada en la que la inteligencia artificial puede operar como herramienta que potencia la capacidad reflexiva, o bien como dispositivo que la sustituye, tensionando categorías como autoría, originalidad y responsabilidad intelectual.La cuestión, por tanto, no radica únicamente en la eficiencia tecnológica, sino en la orientación ética y epistemológica que otorguemos a su uso dentro del campo científico.El primer número de 2026 de la Revista de Ciencias Sociales (Ve) se inscribe en un horizonte problemático de reconfiguración de las dinámicas sociales, articulando investigaciones que, desde distintos enfoques disciplinares, examinan procesos de digitalización, migración, educación, gobernanza, subjetividad y transformación productiva, en contextos atravesados por profundas asimetrías estructurales.Uno de los ejes transversales que articula este número es la expansión de la racionalidad digital como principio organizador de prácticas sociales, institucionales y económicas.La incorporación de algoritmos de aprendizaje automático para predecir el uso de plataformas financieras digitales en entornos universitarios, el modelado multivariante aplicado a la educación financiera, así como los estudios sobre cultura digital docente y la implementación de dashboards en procesos formativos, evidencian la creciente centralidad de los dispositivos tecnológicos en la configuración de capacidades, decisiones y trayectorias educativas.No se trata únicamente",Has abstract,not has references
Inteligencia artificial y brecha digital en la educación superior: revisión internacional con foco en Colombia,Carlos Andrés Vasquez Blanco,2026,GADE Revista Científica|DOAJ (DOAJ: Directory of Open Access Journals),PA,"El crecimiento vertiginoso de la inteligencia artificial (IA) en educación se produce sobre un terreno históricamente desigual en términos de acceso, uso significativo de las tecnologías y desarrollo de competencias digitales. Este artículo presenta una revisión de alcance narrativo sobre políticas públicas internacionales y nacionales que regulan u orientan el uso de IA en educación, con énfasis en su impacto potencial sobre la brecha digital y los aprendizajes de estudiantes de educación superior. Se analizan marcos globales como el Consenso de Beijing sobre IA y educación y la recomendación de la UNESCO sobre la ética de la IA, los Principios de IA de la OCDE y las directrices éticas de la Unión Europea, en diálogo con la Ruta nacional para el desarrollo de la IA en Colombia (CONPES 3975 y 4144, Hoja de Ruta MinCiencias) y lineamientos específicos del sector educativo. Los hallazgos muestran una tensión entre el discurso de equidad que atraviesa estos instrumentos y diseños de política que, en la práctica, pueden profundizar brechas de acceso, de uso pedagógico significativo y de participación en la gobernanza de la IA. La revisión de estudios empíricos recientes evidencia que, sin inversiones robustas en infraestructura, alfabetización y apoyos diferenciados, la expansión de la IA en educación superior tiende a reproducir desigualdades socioeconómicas y territoriales. Se discuten implicaciones para América Latina y Colombia, y se proponen recomendaciones para una agenda de políticas de IA más redistributiva y centrada en justicia social.",Has abstract,not has references
